image_url,pokemon_name,total_zone_count,type,star,zone_url,other_pokemon_in_zone,zone_name
https://www.serebii.net/legendsz-a/pokemon/248.png,Tyranitar,1,Dark,4,https://www.serebii.net/legendsz-a/hyperspacewildzone/dark.shtml,Tyranitar; Malamar; Krookodile; Pupitar; Inkay; Krokorok,Wild Zone 2
https://www.serebii.net/legendsz-a/pokemon/706-h.png,Goodra,1,Dragon,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/dragon.shtml,Goodra; Arctibax; Baxcalibur; Sliggoo; Frigibax,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/705-h.png,Sliggoo,1,Dragon,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/dragon.shtml,Goodra; Arctibax; Baxcalibur; Frigibax,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479-h.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479-w.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479-s.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479-f.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/479-m.png,Rotom,1,Electric,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/electric.shtml,Rotom,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/670-w.png,Floette,1,Fairy,3,https://www.serebii.net/legendsz-a/hyperspacewildzone/fairy.shtml,Mawile; Aromatisse; Floette; Spritzee; Flabébé,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/083-g.png,Farfetch'd,1,Fighting,3,https://www.serebii.net/legendsz-a/hyperspacewildzone/fighting.shtml,Farfetch'd; Machoke; Medicham; Machop; Meditite,Wild Zone 10
https://www.serebii.net/legendsz-a/pokemon/853.png,Grapploct,1,Fighting,4,https://www.serebii.net/legendsz-a/hyperspacewildzone/fighting.shtml,Grapploct; Machamp; Pangoro; Clobbopus; Machoke; Pancham,Wild Zone 10
https://www.serebii.net/legendsz-a/pokemon/778.png,Mimikyu,1,Ghost,3,https://www.serebii.net/legendsz-a/hyperspacewildzone/ghost.shtml,Mimikyu; Banette; Lampent; Shuppet; Litwick,Wild Zone 2
https://www.serebii.net/legendsz-a/pokemon/999.png,Gimmighoul,1,Ghost,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/ghost.shtml,Gimmighoul,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/154.png,Meganium,1,Grass,4,https://www.serebii.net/legendsz-a/hyperspacewildzone/grass.shtml,Victreebel; Simisage; Meganium; Weepinbell; Pansage; Bayleef,Wild Zone 2
https://www.serebii.net/legendsz-a/pokemon/623.png,Golurk,1,Ground,4,https://www.serebii.net/legendsz-a/hyperspacewildzone/ground.shtml,Golurk; Stunfisk; Golett,Wild Zone 10
https://www.serebii.net/legendsz-a/pokemon/618-g.png,Stunfisk,1,Ground,4,https://www.serebii.net/legendsz-a/hyperspacewildzone/ground.shtml,Golurk; Stunfisk; Golett,Wild Zone 10
https://www.serebii.net/legendsz-a/pokemon/713-h.png,Avalugg,1,Ice,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/ice.shtml,Avalugg; Arctibax; Baxcalibur; Bergmite; Frigibax,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/380.png,Latias,1,Legendary,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/special.shtml,Latias; Gardevoir; Kirlia; Altaria,Wild Zone 1
https://www.serebii.net/legendsz-a/pokemon/381.png,Latios,1,Legendary,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/special.shtml,Latios; Gardevoir; Kirlia; Altaria,Wild Zone 2
https://www.serebii.net/legendsz-a/pokemon/638.png,Cobalion,1,Legendary,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/special.shtml,Cobalion; Machamp; Machoke; Steelix,Wild Zone 3
https://www.serebii.net/legendsz-a/pokemon/639.png,Terrakion,1,Legendary,5,https://www.serebii.net/legendsz-a/hyperspacewildzone/special.shtml,Terrakion; Machamp; Machoke; Pupitar,Wild Zone 4
